problem,method,rotation_error_deg,translation_error,loss,success_rot_le_5deg,trial
rwhe,ZNN-CORO,0.38147835455682555,0.014694187610844569,0.00044926713649686936,1.0,15.0
axbycz,ZNN-CORO,1.2572292720637674,0.0425738963285971,0.000479930257157974,1.0,15.0
hand_eye,GNN-SVD,14.179891219751916,0.5522544197628152,0.14532106773319717,0.0,15.0
rwhe,GNN-SVD,11.733421911785594,0.267082105236515,0.1385675698950441,0.0,15.0
axbycz,GNN-SVD,9.230467350672312,0.510435167333133,0.08552544830412273,0.0,15.0
hand_eye,GNN-CORO,14.179891219838646,0.5522544197628209,0.14532106773316297,0.0,15.0
rwhe,GNN-CORO,11.73342191188957,0.2670821052365433,0.1385675698949441,0.0,15.0
axbycz,GNN-CORO,9.230467350806586,0.51043516733313,0.0855254483040109,0.0,15.0
hand_eye,ZNN-SVD,0.609018479356463,0.013099093548739268,0.0006287091850754969,1.0,16.0
rwhe,ZNN-SVD,0.5246921314991195,0.017390733001531964,0.00030934532820723926,1.0,16.0
axbycz,ZNN-SVD,0.6652683059176936,0.017223253928529195,0.00021488348261289889,1.0,16.0
hand_eye,ZNN-CORO,0.6090184813780518,0.013099093548739322,0.0006287091850749972,1.0,16.0
rwhe,ZNN-CORO,0.5246921338455985,0.017390733001531974,0.00030934532820254076,1.0,16.0
axbycz,ZNN-CORO,0.6652683077683597,0.017223253928528828,0.0002148834826111614,1.0,16.0
hand_eye,GNN-SVD,0.5037554969270768,0.29289503006782813,0.009113162728506196,1.0,16.0
rwhe,GNN-SVD,7.1448089030272905,0.3721665161287277,0.1359992240222796,0.0,16.0
axbycz,GNN-SVD,16.150980100890678,0.33293599000918456,0.28651379289338974,0.0,16.0
hand_eye,GNN-CORO,0.5037554993710752,0.2928950300678308,0.0091131627284991,1.0,16.0
rwhe,GNN-CORO,7.144808903199338,0.3721665161287622,0.1359992240221821,0.0,16.0
axbycz,GNN-CORO,16.15098010096422,0.3329359900091929,0.28651379289316753,0.0,16.0
hand_eye,ZNN-SVD,0.30532224091674354,0.01789586182336356,0.00032368665637339905,1.0,17.0
rwhe,ZNN-SVD,0.8186940069536723,0.010668652845701112,0.00028131246264597544,1.0,17.0
axbycz,ZNN-SVD,1.162699743957577,0.04374812827504227,0.000565668204209257,1.0,17.0
hand_eye,ZNN-CORO,0.30532224495148585,0.017895861823363588,0.0003236866563746227,1.0,17.0
rwhe,ZNN-CORO,0.8186940084602066,0.010668652845701095,0.00028131246264535956,1.0,17.0
axbycz,ZNN-CORO,1.1626997450165317,0.043748128275044304,0.0005656682042057749,1.0,17.0
hand_eye,GNN-SVD,0.4948275305688317,0.23028887520647373,0.011899202403966275,1.0,17.0
rwhe,GNN-SVD,15.24320159102041,0.2800242000655265,0.2185661861785317,0.0,17.0
axbycz,GNN-SVD,15.679090619102848,0.3048145052873737,0.2283858086786349,0.0,17.0
hand_eye,GNN-CORO,0.49482753305987137,0.23028887520648,0.011899202403956241,1.0,17.0
rwhe,GNN-CORO,15.243201591100494,0.2800242000655443,0.21856618617842924,0.0,17.0
axbycz,GNN-CORO,15.67909061918071,0.30481450528737725,0.22838580867850944,0.0,17.0
hand_eye,ZNN-SVD,0.3326829864745617,0.014810482184212909,0.0003708333588890343,1.0,18.0
rwhe,ZNN-SVD,1.4563831656158313,0.029047757747668327,0.00032641356319016427,1.0,18.0
axbycz,ZNN-SVD,1.0727411698697376,0.028260585180806413,0.0006350767700303528,1.0,18.0
hand_eye,ZNN-CORO,0.332682990170906,0.014810482184212909,0.000370833358885815,1.0,18.0
rwhe,ZNN-CORO,1.456383166461278,0.02904775774766834,0.00032641356318781806,1.0,18.0
axbycz,ZNN-CORO,1.072741171017483,0.02826058518080652,0.0006350767700279449,1.0,18.0
hand_eye,GNN-SVD,13.535852692126218,0.44475273261183357,0.08957831720936023,0.0,18.0
rwhe,GNN-SVD,4.088602662259532,0.35839688449044865,0.10657389161970908,1.0,18.0
axbycz,GNN-SVD,17.282146542280636,0.2672765420786789,0.2694695869596595,0.0,18.0
hand_eye,GNN-CORO,13.535852692216176,0.4447527326118405,0.08957831720932126,0.0,18.0
rwhe,GNN-CORO,4.088602662560731,0.35839688449047696,0.10657389161962078,1.0,18.0
axbycz,GNN-CORO,17.282146542350823,0.2672765420786884,0.26946958695955936,0.0,18.0
hand_eye,ZNN-SVD,0.12764100753538885,0.019625880548623815,0.0001313376768600725,1.0,19.0
rwhe,ZNN-SVD,0.7732044798546797,0.014738738863997614,0.00023957241263303689,1.0,19.0
axbycz,ZNN-SVD,0.3651452270926098,0.026317516506790307,0.0005545767153264521,1.0,19.0
hand_eye,ZNN-CORO,0.12764101718661103,0.019625880548623815,0.00013133767685939718,1.0,19.0
rwhe,ZNN-CORO,0.7732044814451274,0.014738738863997607,0.00023957241263412835,1.0,19.0
axbycz,ZNN-CORO,0.36514523045834835,0.026317516506789044,0.0005545767153222087,1.0,19.0
hand_eye,GNN-SVD,7.895031545307443,0.48922577131828326,0.02863057844173304,0.0,19.0
rwhe,GNN-SVD,2.871225232915402,0.27185379468937126,0.0787406780579107,1.0,19.0
axbycz,GNN-SVD,14.167474671156485,0.4195920826561842,0.23348627231905142,0.0,19.0
hand_eye,GNN-CORO,7.895031545462769,0.4892257713182837,0.02863057844172388,0.0,19.0
rwhe,GNN-CORO,2.871225233343105,0.27185379468939047,0.07874067805787731,1.0,19.0
axbycz,GNN-CORO,14.167474671241264,0.4195920826561881,0.2334862723189584,0.0,19.0
hand_eye,ZNN-SVD,0.39050243363563575,0.0291486156879273,0.00028202053520192446,1.0,20.0
rwhe,ZNN-SVD,0.9505054807829016,0.023379140823061806,0.00040523692867799557,1.0,20.0
axbycz,ZNN-SVD,1.6064499298399981,0.019720438970146036,0.0005121082252990238,1.0,20.0
hand_eye,ZNN-CORO,0.39050243678095703,0.029148615687927357,0.000282020535201141,1.0,20.0
rwhe,ZNN-CORO,0.9505054820789988,0.023379140823061785,0.0004052369286822144,1.0,20.0
axbycz,ZNN-CORO,1.6064499306060314,0.01972043897014478,0.0005121082253001551,1.0,20.0
hand_eye,GNN-SVD,11.492830595178816,0.22036199070927467,0.030864194798285546,0.0,20.0
rwhe,GNN-SVD,13.342696110814783,0.23942339008265,0.1563050652161833,0.0,20.0
axbycz,GNN-SVD,15.531299731918578,0.2889023953369427,0.18625193915998853,0.0,20.0
hand_eye,GNN-CORO,11.492830595284873,0.2203619907092831,0.030864194798262867,0.0,20.0
rwhe,GNN-CORO,13.34269611090602,0.2394233900826693,0.15630506521607213,0.0,20.0
axbycz,GNN-CORO,15.531299731997354,0.28890239533694206,0.1862519391599223,0.0,20.0
hand_eye,ZNN-SVD,0.24333896942874342,0.025164743389508817,0.00029339003331409484,1.0,21.0
rwhe,ZNN-SVD,0.15608356682327035,0.019440350408296395,0.0003117358722254183,1.0,21.0
axbycz,ZNN-SVD,0.5130613844561661,0.014618509409184865,0.00039109301253891806,1.0,21.0
hand_eye,ZNN-CORO,0.243338974485215,0.025164743389508804,0.0002933900333133914,1.0,21.0
rwhe,ZNN-CORO,0.15608357472512788,0.019440350408296437,0.00031173587222430515,1.0,21.0
axbycz,ZNN-CORO,0.5130613868544159,0.014618509409184922,0.0003910930125383309,1.0,21.0
hand_eye,GNN-SVD,1.3001141125168563,0.03922886756960761,0.0008021238893415799,1.0,21.0
rwhe,GNN-SVD,4.805512688897788,0.5152713457366123,0.12205167998884602,1.0,21.0
axbycz,GNN-SVD,17.78785058250066,0.631611994170086,0.6927141848210447,0.0,21.0
hand_eye,GNN-CORO,1.3001141134644625,0.03922886756960714,0.0008021238893413579,1.0,21.0
rwhe,GNN-CORO,4.805512689152312,0.5152713457366279,0.1220516799887873,1.0,21.0
axbycz,GNN-CORO,17.787850582569206,0.6316119941701356,0.6927141848207261,0.0,21.0
hand_eye,ZNN-SVD,0.8872913311668207,0.013857490255315425,0.0005496965768857037,1.0,22.0
rwhe,ZNN-SVD,0.31375098717472605,0.016330342294945576,0.0002091709823110431,1.0,22.0
axbycz,ZNN-SVD,0.5910586028881509,0.020554934783986886,0.0006442874276884128,1.0,22.0
hand_eye,ZNN-CORO,0.887291332554427,0.01385749025531545,0.0005496965768846631,1.0,22.0
rwhe,ZNN-CORO,0.3137509911034016,0.01633034229494557,0.000209170982311481,1.0,22.0
axbycz,ZNN-CORO,0.5910586049699321,0.02055493478398891,0.0006442874276907458,1.0,22.0
hand_eye,GNN-SVD,0.24397925459550102,0.3010846989077902,0.014720417466485778,1.0,22.0
rwhe,GNN-SVD,14.665367280369313,0.2275185353052032,0.22653675283970318,0.0,22.0
axbycz,GNN-SVD,10.488435418354882,0.2119223441463828,0.13292004562441634,0.0,22.0
hand_eye,GNN-CORO,0.2439792596476658,0.3010846989077934,0.014720417466477157,1.0,22.0
rwhe,GNN-CORO,14.665367280452427,0.2275185353052165,0.22653675283959132,0.0,22.0
axbycz,GNN-CORO,10.488435418471106,0.21192234414638916,0.1329200456243026,0.0,22.0
hand_eye,ZNN-SVD,0.3597312304595405,0.00720830904654306,0.00039814485494142664,1.0,23.0
rwhe,ZNN-SVD,0.6546732324931286,0.009079329678230039,0.0005456412079990775,1.0,23.0
axbycz,ZNN-SVD,0.8298182899758527,0.019023805061494727,0.0007839390855256626,1.0,23.0
hand_eye,ZNN-CORO,0.3597312338840384,0.00720830904654306,0.000398144854941773,1.0,23.0
rwhe,ZNN-CORO,0.6546732343726307,0.00907932967823008,0.000545641207997478,1.0,23.0
axbycz,ZNN-CORO,0.8298182914586784,0.019023805061494415,0.0007839390855278777,1.0,23.0
hand_eye,GNN-SVD,16.77749224917673,0.17792362558758104,0.06096061083880738,0.0,23.0
rwhe,GNN-SVD,9.529637018960207,0.27454729967841884,0.1859917329564941,0.0,23.0
