trial,method,rotation_error_x_deg,translation_error_x,worst_rotation_error_deg,worst_translation_error,final_loss,success_rot_le_5deg
83.0,ZNN-CORO,0.5695210711618278,0.014316038514132061,0.5695210711618278,0.014316038514132061,0.00038227311445585737,1.0
83.0,GNN-CORO,6.807911925267821,0.2725191611231566,6.807911925267821,0.2725191611231566,0.03310409485390362,0.0
84.0,ZNN-CORO,0.3648144927560178,0.016611869745407647,0.3648144927560178,0.016611869745407647,0.00013851833531797322,1.0
84.0,GNN-CORO,14.377162410298054,0.2067666712835342,14.377162410298054,0.2067666712835342,0.04701067438279177,0.0
85.0,ZNN-CORO,0.2606884540976815,0.017157210546726524,0.2606884540976815,0.017157210546726524,0.00044478423330152495,1.0
85.0,GNN-CORO,0.08180692436556179,0.24960494205056724,0.08180692436556179,0.24960494205056724,0.01299740768992061,1.0
86.0,ZNN-CORO,0.1483984102180134,0.020294418481504692,0.1483984102180134,0.020294418481504692,0.00032649503976061087,1.0
86.0,GNN-CORO,4.122742138599935,0.37610737005297323,4.122742138599935,0.37610737005297323,0.02890091207900569,1.0
87.0,ZNN-CORO,0.5389048592659651,0.021431443503618017,0.5389048592659651,0.021431443503618017,0.0003001808717879255,1.0
87.0,GNN-CORO,14.44594301145014,0.6628725501985638,14.44594301145014,0.6628725501985638,0.15255089206216596,0.0
88.0,ZNN-CORO,0.3158677361798784,0.02804109097074754,0.3158677361798784,0.02804109097074754,0.0003144902010894389,1.0
88.0,GNN-CORO,4.6991622200788505,0.34364582528907706,4.6991622200788505,0.34364582528907706,0.04014595906215376,1.0
89.0,ZNN-CORO,0.5566000356506775,0.03152348349187047,0.5566000356506775,0.03152348349187047,0.00020400480968142968,1.0
89.0,GNN-CORO,10.338646505601647,0.09882856630144413,10.338646505601647,0.09882856630144413,0.015842963646162108,0.0
90.0,ZNN-CORO,0.1466757088215583,0.017085327126771986,0.1466757088215583,0.017085327126771986,0.0003929506786189162,1.0
90.0,GNN-CORO,9.72831216578096,0.2855926205169377,9.72831216578096,0.2855926205169377,0.027570369235226922,0.0
91.0,ZNN-CORO,0.3250994910929776,0.01956467486524609,0.3250994910929776,0.01956467486524609,0.0004963850215837918,1.0
91.0,GNN-CORO,17.436257300598466,0.14317257717539347,17.436257300598466,0.14317257717539347,0.05239547925238486,0.0
92.0,ZNN-CORO,0.6781120614539237,0.02332630705007419,0.6781120614539237,0.02332630705007419,0.00035351505379051067,1.0
92.0,GNN-CORO,15.17541671085098,0.5934963929479234,15.17541671085098,0.5934963929479234,0.15221748005334487,0.0
93.0,ZNN-CORO,0.798369892619883,0.006633407710911839,0.798369892619883,0.006633407710911839,0.0006021037895750963,1.0
93.0,GNN-CORO,1.5630291085733714,0.24210311214956837,1.5630291085733714,0.24210311214956837,0.014950419659432383,1.0
94.0,ZNN-CORO,0.40137672385974127,0.005656606899321958,0.40137672385974127,0.005656606899321958,0.00035677308208626997,1.0
