trial,method,rotation_error_x_deg,translation_error_x,rotation_error_y_deg,translation_error_y,worst_rotation_error_deg,worst_translation_error,final_loss,success_rot_le_5deg
11.0,ZNN-CORO,1.0207936298806146,0.01714941510625035,0.9807661078242729,0.02041794662022651,1.0207936298806146,0.02041794662022651,0.0003541538807573315,1.0
11.0,GNN-CORO,16.999262632664657,0.2703898791239616,13.916483576368009,0.2032984539748663,16.999262632664657,0.2703898791239616,0.12144079084108193,0.0
12.0,ZNN-CORO,0.31692245382610185,0.01928601820852878,0.31905844770150826,0.022048693584418664,0.31905844770150826,0.022048693584418664,0.00031605437114437025,1.0
12.0,GNN-CORO,0.5449771992493682,0.30221152306364757,1.980230539976067,0.24346580649994695,1.980230539976067,0.30221152306364757,0.07770581052559399,1.0
13.0,ZNN-CORO,0.3765273093701372,0.008293107286673256,0.317536508164236,0.008111862598165426,0.3765273093701372,0.008293107286673256,0.0003416181890810125,1.0
13.0,GNN-CORO,2.7843533417024267,0.19911777217519025,1.8177426620436739,0.2955554551833217,2.7843533417024267,0.2955554551833217,0.10897215962389174,1.0
14.0,ZNN-CORO,0.7280939227333625,0.04568861806811179,0.603367746803149,0.020458268645852724,0.7280939227333625,0.04568861806811179,0.0005961756637832546,1.0
14.0,GNN-CORO,3.9225006078304316,0.3092208903999365,10.656132322172718,0.1962652325258875,10.656132322172718,0.3092208903999365,0.21195140395694648,0.0
15.0,ZNN-CORO,0.4321657980635702,0.007922423753468088,0.4828471746962654,0.0056586539805511624,0.4828471746962654,0.007922423753468088,0.0003135039084329549,1.0
15.0,GNN-CORO,8.875954865863138,0.21977095407240604,11.4132424960127,0.09651672531948242,11.4132424960127,0.21977095407240604,0.04885594083633124,0.0
16.0,ZNN-CORO,0.8698226827298977,0.03172392156461002,0.9040787306296072,0.033636924556105355,0.9040787306296072,0.033636924556105355,0.00021218991142725926,1.0
16.0,GNN-CORO,3.048132700260193,0.24644868850816967,12.73214936902302,0.3253247008664579,12.73214936902302,0.3253247008664579,0.1107077846737239,0.0
17.0,ZNN-CORO,0.3511518556538839,0.005005955907981392,0.1620806962602661,0.005756304467876816,0.3511518556538839,0.005756304467876816,0.00011750724421653005,1.0
17.0,GNN-CORO,9.43826526516779,0.15131855933300245,12.765844776211631,0.2698712828806218,12.765844776211631,0.2698712828806218,0.13529878963335204,0.0
18.0,ZNN-CORO,0.3788691355425763,0.02929010826918333,0.26842695004153244,0.029019188571491272,0.3788691355425763,0.02929010826918333,0.0005458992501904858,1.0
18.0,GNN-CORO,14.436881868398762,0.2089244955894209,15.014706903250621,0.1568163697944271,15.014706903250621,0.2089244955894209,0.226247988257533,0.0
19.0,ZNN-CORO,0.24850867639409194,0.016075288664215065,0.14090381806033384,0.020842433277413124,0.24850867639409194,0.020842433277413124,0.0005680636649777857,1.0
19.0,GNN-CORO,11.263233584744068,0.28047618476699143,17.051772171115815,0.3686419939963248,17.051772171115815,0.3686419939963248,0.20567684309611356,0.0
20.0,ZNN-CORO,0.1786100031138102,0.024252862290106984,0.25292607306590814,0.018243817309500702,0.25292607306590814,0.024252862290106984,0.0004631993997943503,1.0
20.0,GNN-CORO,6.450520732643873,0.14235082468738341,3.5190578165880964,0.5143494511653974,6.450520732643873,0.5143494511653974,0.19565764794485277,0.0
21.0,ZNN-CORO,0.2456352024775275,0.023946121942296696,0.2036660159852204,0.02379507314620284,0.2456352024775275,0.023946121942296696,0.0003539804339374486,1.0
21.0,GNN-CORO,6.7991043663205755,0.1586828492848192,1.358358792702288,0.13173656176712575,6.7991043663205755,0.1586828492848192,0.03932691875172894,0.0
22.0,ZNN-CORO,0.448602387640691,0.01387676127957304,0.35736846128071753,0.02135776729196693,0.448602387640691,0.02135776729196693,0.00038249031917767765,1.0
22.0,GNN-CORO,6.922587324278691,0.14573264927410567,8.307782026338641,0.13838981634890063,8.307782026338641,0.14573264927410567,0.16816050506397864,0.0
23.0,ZNN-CORO,0.7832163979685768,0.023198087229775288,0.532844461471856,0.030460425897010174,0.7832163979685768,0.030460425897010174,0.0003825425044540765,1.0
23.0,GNN-CORO,11.257122814516357,0.41477586576297437,4.134484027328606,0.5715042469626074,11.257122814516357,0.5715042469626074,0.14930522089798473,0.0
24.0,ZNN-CORO,0.7757734759986838,0.01858764184602418,0.6475959009415794,0.01699901981663971,0.7757734759986838,0.01858764184602418,0.00036415148059554606,1.0
